stock,positions_count,profit_loss
FTR,0,0
FUV,0,0
CPIX,5,-110.38377427558302
FAD,5,310.8934278635885
SALM,4,346.4372944592957
GEOS,2,3.5709238218376598
IRMD,4,300.0498304318381
REKR,3,496.51086240948007
ATRS,0,0
HBP,9,155.6855940883816
PSCF,4,74.66007765054556
HMSY,0,0
HFBL,7,514.2412679745674
FNK,2,270.57459089015197
AVEO,7,406.5981981714271
MCRI,3,382.7584580820936
SGMO,2,-0.6639507670970488
USOI,1,-62.95915306122447
ALACR,0,0
ALYA,7,-286.15781906272787
ZGNX,6,-46.52621484910648
RCKT,2,-199.9999999999999
KRMA,2,-92.74570730281309
PPSI,4,-106.54428197231837
MFNC,8,-122.37285407559955
LPTH,8,-360.62506226002967
PFM,4,341.1654471183447
USAU,13,-709.4329776413597
ITCI,3,216.39546734071746
HWCC,1,-100.00000000000004
BEAT,3,201.40122550260804
IEC,9,126.78217516676247
OIIM,6,-386.1400447031169
PBBI,9,-55.764994884825796
MARK,7,2.168418383519544
ALCO,5,-32.52450130731813
ICUI,4,-36.445492479544754
ZBIO,0,0
TROV,25,-299.88459658103824
VCLT,5,-134.92369433603068
NVMI,4,46.63658237076488
DCIX,0,0
FUNC,10,298.60207227079945
KRYS,4,47.84298316432842
MTEM,7,-373.2823878598166
UNB,6,274.2550641135107
CORV,5,513.1778523547939
ARDX,1,-100.00000000000004
TUES,1,57.72058823529413
PTVCA,7,-549.395056395126
PSL,5,408.28626463607793
LIND,2,2.1961635372947512
DTEA,1,-100.00000000000003
IVAC,3,-65.28807293631607
LBC,26,1464220.9465855309
FWONK,1,-38.631024426146844
FLNT,6,-207.48867598490799
MTEX,3,192.00990552395655
IBKCO,1,50.07473841554558
ULH,4,123.7465483901426
WLTW,0,0
ABCB,0,0
IFEU,6,4.77229122866371
CHTR,2,93.86455294056081
CORT,0,0
VSDA,2,28.300694883133403
ORGS,15,-45.551589751504274
EGOV,1,-21.33944260275574
CASH,4,1345.3184518879557
DARE,6,-74.77422199017198
AGRX,3,-161.53846153846158
BYFC,7,158.67520964782148
BNSO,11,-182.95992331006144
IMMU,2,-19.846372581091472
QABA,4,310.87470647986447
CVGW,2,-64.1102959941627
IEA,0,0
CHMG,6,208.03068611863267
NOVT,5,1163.9348559565403
HIIQ,3,-222.38805970149258
PEGA,0,0
PULM,5,1022.0000600000003
PDP,4,87.346299269858
CSWI,0,0
RCII,0,0
XSPA,4,170.64837053294136
CCRN,2,385.6921487603306
CXDC,2,40.132517195684066
FLXN,3,-152.02766517164045
DAIO,8,485.8468953570717
SUPN,1,-28.741865509761446
CSTE,2,602.9279561128529
CTRC,4,136.27586206896564
ESGR,0,0
GNPX,0,0
YTEN,15,-213.87494230538312
AVGR,6,-357.69230769230745
ESGE,1,61.77071165116388
SVBI,8,-47.940062530435576
AMRS,0,0
PSCD,7,-320.5698937155165
WHLRP,6,-259.18380456729216
TSRI,10,-225.68635717543478
EDIT,0,0
SSSS,3,65.19630380628553
BSJK,0,0
VNET,1,-99.99999999999991
FDTS,3,81.85072132014498
VICR,0,0
DISH,1,-85.35230241143721
RGEN,3,416.49132835822496
NEXT,6,815.3596944634068
QIWI,0,0
NWFL,7,21.550476507351902
VG,0,0
CLMT,1,-51.879299943866926
ASRVP,10,-252.689472925665
SMMF,16,-889.3285051326045
SAVA,12,-290.50495506990467
XELB,7,4299.20634920635
BCTF,3,489.47524407521286
ASMB,8,-43.93224824240474
UEPS,2,-32.2151067019565
MEIP,7,-564.9999999999999
INDY,3,60.32698910728211
LOAN,9,-50.8566722261755
ESSA,1,199.04153354632595
VRNT,1,-99.9999999999999
REPL,0,0
EVOK,6,-231.51975849657046
RWLK,1,-100.0
NICE,0,0
YI,0,0
CBLI,4,-301.18249491245774
IUSG,3,366.12209929002927
CBAY,3,157.7081848199253
WB,0,0
STCN,4,-146.75883097315125
OCGN,15,-456.11411657645664
VBFC,17,-154.29798050107362
GAINM,1,-8.11754897110357
CBAN,8,243.13215276814609
STAF,3,-299.9999999999999
LJPC,4,235.00412008713687
NWGI,13,3388.007352941177
CIH,8,15621.717883837096
VIVE,3,124.0559198083471
GENC,4,155.28812001348277
BCOM,15,352.6273289849707
CG,0,0
CYAN,9,-118.53466680693697
GLDI,0,0
CNAT,1,-99.99999999999996
WASH,0,0
GWRS,2,9.725821953515707
ULBI,6,79.74672827620721
ASUR,8,337.0426162706127
HSTM,5,395.1639738515474
PSCE,5,228.07658689842327
INSG,3,-115.87550380653843
CSF,2,464.0109776519789
ESGD,1,-9.248288815437661
BSGM,3,-242.85714285714266
SABR,0,0
VKTX,4,-278.57142857142827
BOTJ,8,-446.53190654714695
BRPAR,1,-99.99999999999994
VTWG,4,324.9872188049217
DFNL,1,-76.65393122863445
VALU,16,-425.2167945938595
MTSC,1,26.132412906445918
CODX,1,82.46013667425991
SKYS,1,-100.00000000000001
BLDR,1,-8.788598574821904
TURN,1,121.22905027932966
KRNY,2,8.800072355048613
PGJ,2,177.39155679871186
NATR,5,-141.90068325043893
VTVT,0,0
OSBCP,6,398.0638589241203
ALTR,0,0
WIRE,0,0
LMRKP,2,-28.910376802960144
VONE,5,187.61949543496843
NXTG,4,406.92031417199456
RDCM,7,-265.2879299206414
APDN,22,-939.9929390166067
SINO,8,53.34333577997525
ZIOP,2,-82.60869565217392
ENSG,0,0
LNT,0,0
CARZ,3,79.69977639340372
RTRX,4,47.171719214048686
VMBS,1,-7.8357838744695405
HBMD,10,-45.175397436873894
NDRA,2,-200.00000000000006
EYEG,3,218.00000000000006
VTNR,7,1061.818684279995
BKYI,8,-303.58694230560496
HYXE,1,9.51278017183323
CASI,5,-203.8945233265719
CAPR,14,-768.1690984744773
FNWB,2,-55.58243705270551
ALLT,5,510.597449364447
FRGI,0,0
PPC,0,0
WVE,2,88.42279826922143
ELSE,2,-200.00000000000003
RFAP,1,-12.691148272321717
PTVCB,2,-127.24725440048151
FLMN,1,-100.00000000000001
MCEP,1,-100.00000000000004
AIRR,1,134.95080125335724
IMTE,2,-200.00000000000006
NVCR,0,0
MDCA,0,0
AUBN,7,283.9192860054217
LINC,10,-908.3018867924525
WWR,7,278.60759493670895
TENX,12,-294.91589249511793
CDMO,4,52.9810464331719
FUND,1,-21.073298429319205
PRFZ,1,282.6002565478985
LLIT,7,274.6935195376999
HYLS,1,-89.0064777892198
SILC,7,764.8425002315063
PIE,2,82.34601023178965
VONV,3,281.86798911777305
DXJS,2,211.19379385050314
APEN,12,-494.6091293415279
IMMP,3,-74.27748207451714
ICCC,10,-279.79181829320993
HNNA,13,388.4122196930088
FLWS,1,65.95744680851062
NXTC,0,0
LIVE,11,1008.1136735822911
PEIX,0,0
MSTR,0,0
CHCI,8,-75.90557674256456
WPRT,1,-74.57627118644062
ITMR,1,122.80701754385967
MDWD,3,-229.31415929203536
ANAB,0,0
PLCE,0,0
USLB,1,26.598461156062708
PTGX,3,-118.64782673778247
GYRO,3,221.02843547611286
CSB,29,1353034.2021080232
INPX,0,0
VIOT,1,12.915129151291435
JCTCF,9,14.446102515794655
AVDL,5,-330.69640097151665
CNMD,1,123.90023215591017
REFR,9,95.41392363396987
MYOS,16,1927.341071146098
SONM,0,0
IIVI,0,0
CIDM,6,-404.86581936995003
ATSG,0,0
LMBS,1,-3.2729881261645217
ATRC,2,-21.214237222383627
BSJN,1,-2.673758594346801
UEIC,1,31.98437623986893
XNET,1,-99.99999999999993
VETS,1,13.210775699761529
VLGEA,0,0
GWPH,5,-45.035674648306724
FAT,0,0
TZOO,1,672.0811269035532
JAN,15,-616.7243327185236
CYTK,1,73.88349514563099
MLNX,3,315.1716946976333
CIL,7,1941.567509419597
LONE,20,362.9133173734772
OTEX,0,0
SMMT,4,-334.8671824230232
