stock,positions_count,profit_loss
ANTE,6,587.2757412730261
SLIM,2,150.8337891169305
PSM,83,41396.389571504944
SBGI,0,0
GFED,8,176.4359663275717
AIRT,7,915.8042959438413
ISSC,10,334.24551501509757
KNDI,4,150.18726449178538
TRNS,17,-702.2768415099905
CARO,4,426.49035244605136
RDVY,1,184.15184069335533
FEIM,10,-388.895829334568
VONG,2,629.0210628105544
VCYT,3,99.97618203952537
PRGX,5,4.188842572244574
ORRF,4,52.56948510290165
OESX,7,455.4762713682859
BLDP,5,-500.00000000000006
XCUR,0,0
DXGE,1,27.489940359688358
YLCO,2,94.33219887092389
CHCO,1,195.97201976983885
LBTYK,0,0
AMSC,3,-171.27742946708432
XLRN,0,0
LOVE,0,0
ASYS,3,-227.66919595144236
INSE,1,-99.99999999999994
SVC,1,-91.06702598839775
HAFC,2,49.316746177284415
BTAI,0,0
EQRR,0,0
BFRA,2,-83.97936831184573
JVA,7,-224.3025970463973
JNCE,0,0
SOCL,3,225.22051573349472
OFLX,10,-233.01211592304256
DRRX,6,740.7416883965622
ASTC,6,-68.58529819694837
NBIX,2,68.36548850621914
OCSI,0,0
WHLRD,3,140.7065413853022
VYGR,3,649.6325710681834
VRTX,2,-188.3129114014445
GGAL,2,115.67190082644629
SHSP,9,-32.68128546671159
WW,2,414.34882184073984
NYMTP,2,-27.65968622315699
VRAY,2,109.86161904661552
TAYD,8,-218.04300219741367
CREX,18,-728.2728881026092
FYT,4,130.31998537641044
ACIU,2,54.880072000000055
XELA,1,-71.95467422096306
TATT,5,-37.57570253797969
WSTG,6,536.6460296307608
PFMT,2,14.28571428571432
FYC,6,214.13894427453974
VRNA,2,-200.00000000000006
TVTY,1,519.7191512444161
EQIX,0,0
ZG,0,0
DGRW,2,305.9168355446556
STMP,0,0
GURE,8,-61.359156795926324
QUIK,3,-193.3383398373594
MBOT,14,-76.47217311014937
INFR,1,27.588478662397844
HARP,1,-99.99999999999997
SMBK,12,168.93831370841704
CDL,2,111.15687910800177
VRML,5,385.63116295519626
PODD,0,0
IPAR,2,352.12246523774115
AXSM,1,-100.0
AMSWA,0,0
FORM,1,-99.99999999999997
