buy_date,buy_price,sell_date,sell_price
2011-04-04,465.0,2011-04-05,418.5
2013-01-16,95.0,2013-01-17,85.5
2014-01-07,51.5,2014-01-09,63.45
2014-01-22,157.399994,2014-01-24,141.6599946
2014-02-03,142.5,2014-02-04,128.25
2014-02-25,115.699997,2014-03-18,108.0
2015-01-27,52.5,2015-02-03,59.0399982
2015-03-06,78.0,2015-03-09,70.2
2016-06-17,44.400002,2016-06-27,39.9600018
2017-07-19,13.0,2017-07-20,11.700000000000001
2017-07-28,12.8,2017-07-31,11.520000000000001
2017-10-02,32.0,2017-10-03,28.8
2017-10-26,23.700001,2017-11-02,22.3199991
2017-11-30,20.299999,2017-12-01,18.2699991
