buy_date,buy_price,sell_date,sell_price
2011-09-14,7.05,2011-09-22,6.7860000000000005
2012-02-16,10.64,2012-03-13,10.188
2014-10-01,9.95,2014-10-14,9.450000000000001
2015-01-09,11.36,2015-09-09,12.582
2015-10-13,16.030001,2015-11-06,15.3449991
2016-08-04,20.049999,2016-08-29,18.2610009
2018-07-18,11.46,2018-08-28,11.25
2018-09-10,11.65,2018-10-04,11.124
