buy_date,buy_price,sell_date,sell_price
2011-04-12,9.41,2011-05-23,9.207
2011-06-01,10.99,2011-06-03,9.891
2011-07-22,10.42,2011-07-26,10.8
2011-08-01,12.0,2011-08-03,10.8
2011-08-16,11.35,2011-08-18,10.422
2011-08-19,10.95,2011-09-26,10.953
2011-09-28,11.92,2011-10-06,10.728
2011-10-07,11.34,2011-10-17,10.89
2011-10-18,11.2,2011-11-14,11.655
2013-08-19,8.36,2013-09-16,7.929
2013-10-25,9.0,2013-10-31,8.1
2014-06-24,10.29,2014-07-30,9.711
2016-04-14,11.23,2016-04-20,10.593
2017-02-01,11.9,2017-04-25,11.655
2017-10-03,13.95,2017-10-16,13.545000000000002
2018-01-31,15.8,2018-02-28,14.22
2018-05-11,16.83,2018-06-13,18.134999999999998
