buy_date,buy_price,sell_date,sell_price
2012-02-03,6.47,2012-02-22,6.264
2013-06-04,6.0,2013-07-08,5.652
2013-10-04,7.0,2013-10-10,6.714
2014-06-23,15.0,2014-07-08,13.5
2019-09-24,4.46,2019-09-26,4.014
