buy_date,buy_price,sell_date,sell_price
2015-09-25,8.7,2015-10-02,9.99
2016-09-07,6.0,2016-09-16,7.128
2018-06-28,4.27,2018-06-29,3.8429999999999995
2018-07-25,6.35,2018-07-30,5.715
