buy_date,buy_price,sell_date,sell_price
2010-10-05,458.149994,2010-10-11,431.73899190000003
2011-01-27,733.039978,2011-02-07,727.65
2011-11-25,700.700012,2011-11-28,630.6300108
2012-01-23,695.309998,2012-01-27,640.3319819999999
2013-07-30,490.48999,2013-08-01,450.45
2015-03-18,286.440002,2015-03-23,257.7960018
2016-04-27,26.950001,2016-04-28,24.255000900000002
2016-07-25,11.275,2016-07-28,10.296
2016-08-19,13.475,2016-08-23,15.741
2016-11-17,15.73,2016-11-22,14.157
2017-03-14,11.65,2017-04-13,12.123000000000001
2018-07-10,8.08,2018-07-16,8.154
