buy_date,buy_price,sell_date,sell_price
2012-06-21,1377.0,2012-06-25,1239.3
2012-07-09,1441.800049,2012-07-18,2624.4
2012-08-31,3402.0,2012-09-05,3207.6
2012-09-28,3337.199951,2012-10-18,3499.2000000000003
2014-06-20,3515.399902,2014-06-23,3163.8599118
2016-08-17,232.199997,2016-08-19,208.9799973
2016-09-15,198.449997,2016-10-03,178.6049973
2016-11-11,174.149994,2016-11-14,156.7349946
2016-11-17,168.75,2016-11-23,159.1650054
2016-11-29,192.0,2016-11-30,172.8
2018-04-27,13.5,2018-04-30,12.15
2018-05-22,14.85,2018-05-29,13.365
2019-01-15,9.7,2019-01-16,8.73
2019-12-24,11.79,2019-12-27,12.6
