buy_date,buy_price,sell_date,sell_price
2011-02-10,64.0,2011-02-11,57.6
2012-11-20,15.68,2012-11-21,14.112
2012-11-29,15.68,2012-12-04,18.0
2012-12-12,20.799999,2012-12-14,18.7199991
2012-12-26,16.0,2012-12-27,14.4
2013-01-04,18.4,2013-01-09,19.0080009
2013-01-11,16.799999,2013-01-17,18.0
2013-01-23,20.0,2013-01-30,22.032
2013-02-05,24.0,2013-02-08,24.624000900000002
2013-03-04,36.48,2013-03-08,32.832
2013-03-15,34.560001,2013-03-20,31.968000000000004
2013-03-21,29.280001,2013-03-22,26.3520009
2014-07-25,29.6,2014-07-28,26.64
2016-06-15,22.65,2017-09-07,29.7
2017-09-29,33.950001,2017-10-16,30.5550009
2018-07-25,34.450001,2018-12-14,31.95
2019-09-19,34.32,2019-12-30,37.82
