buy_date,buy_price,sell_date,sell_price
2012-02-13,3.68,2012-03-14,3.366
2012-03-29,3.9,2012-05-02,3.861
2013-07-12,4.98,2013-08-02,5.535
2014-04-17,8.47,2014-04-22,7.803
2016-05-10,8.56,2016-05-26,7.983
2016-08-30,8.82,2016-09-06,8.325000000000001
2016-09-07,9.28,2016-09-23,8.352
