buy_date,buy_price,sell_date,sell_price
2011-01-27,0.9,2011-02-03,6.3
2011-07-25,6.12,2011-07-27,5.562
2011-08-02,13.0,2011-08-03,11.700000000000001
2011-11-17,0.68,2011-11-21,0.6120000000000001
2012-01-06,0.8,2012-01-12,9.9
2012-05-02,0.68,2012-05-07,11.520000000000001
2012-05-14,0.8,2012-05-18,10.476
2013-01-11,12.76,2013-01-15,11.484
2013-01-25,0.56,2013-01-29,10.71
2013-02-08,0.49,2013-02-12,10.71
2013-02-14,9.87,2013-02-15,8.883
2013-11-07,0.08,2013-11-12,12.15
2013-11-18,0.06,2013-11-21,13.5
2014-01-21,0.09,2014-01-24,12.870000000000001
2014-01-31,10.44,2014-02-03,9.395999999999999
2014-06-25,10.66,2014-06-27,9.594000000000001
2014-07-25,0.09,2014-08-01,11.700000000000001
2014-10-20,0.06,2014-10-23,11.952
2014-10-27,0.07,2014-10-30,0.06300000000000001
2014-11-04,0.06,2014-11-14,12.420000000000002
2015-02-11,0.07,2015-02-18,0.06300000000000001
2016-06-01,0.17,2016-06-08,10.53
2016-07-05,0.195,2016-07-07,0.17550000000000002
2016-07-14,0.135,2016-08-03,11.700000000000001
2016-12-21,0.175,2017-01-11,14.129999999999999
2017-05-15,0.145,2017-05-18,15.282
