buy_date,buy_price,sell_date,sell_price
2013-03-27,11.4,2013-04-01,12.96
2013-04-03,12.0,2013-04-04,10.8
2013-04-05,11.52,2013-04-15,10.368
2013-05-13,11.16,2013-05-23,11.34
2013-05-29,12.6,2013-05-30,11.34
2013-06-03,11.4,2013-06-04,10.26
2014-08-27,9.6,2014-08-29,10.26
2016-06-03,3.96,2016-06-07,4.86
2016-07-19,6.24,2016-07-22,5.6160000000000005
2017-01-30,6.0,2017-01-31,5.4
2017-02-07,7.08,2017-02-08,6.372
2017-02-23,9.6,2017-02-27,8.64
2017-04-04,6.6,2017-04-17,9.936
2017-12-21,7.51,2017-12-22,6.759
2018-01-09,8.1,2018-01-10,7.29
