buy_date,buy_price,sell_date,sell_price
2013-04-15,0.156,2013-04-26,0.1404
2013-12-04,0.1,2013-12-17,0.1404
2014-01-03,0.4,2014-01-13,0.648
2014-05-21,1.28,2014-06-27,3.7800000000000002
2014-07-14,4.8,2014-07-30,5.184
2015-04-14,4.0,2015-05-05,3.9600000000000004
2015-12-23,4.64,2016-01-08,4.176
2016-09-26,2.272,2016-09-28,2.0448
2017-01-30,3.4,2017-02-03,3.42
2017-02-06,4.0,2017-03-27,3.7800000000000002
2018-01-17,4.4,2018-01-18,3.9600000000000004
2018-01-30,5.44,2018-01-31,4.896000000000001
2018-05-02,6.4,2018-05-15,12.096
