buy_date,buy_price,sell_date,sell_price
2012-06-15,7.41,2012-07-24,7.3709999999999996
2016-03-15,4.79,2016-06-15,5.112
2017-03-02,6.4,2017-04-21,6.165
2018-01-11,7.95,2018-02-06,7.155
2018-03-13,8.55,2018-05-07,9.225
