buy_date,buy_price,sell_date,sell_price
2012-02-10,7.43,2012-02-13,6.687
2012-08-22,7.6,2012-09-14,7.119000000000001
2013-02-01,8.15,2013-05-07,8.325000000000001
2013-11-20,9.65,2014-01-29,10.368
2014-02-19,12.1,2014-04-08,12.492
2016-11-16,12.75,2017-05-15,13.302
2017-10-03,16.0,2017-10-16,15.1110009
2018-06-27,16.98,2018-10-02,15.7050009
