buy_date,buy_price,sell_date,sell_price
2011-03-07,25.0,2011-04-13,83.25
2012-06-01,9.45,2012-06-08,11.25
2012-07-16,21.25,2012-07-17,19.125
2012-07-25,19.5,2012-07-26,17.55
2012-08-14,14.55,2012-08-16,13.455
2012-08-27,13.75,2012-08-28,12.375
2013-01-24,11.0,2013-01-25,9.9
2014-03-13,10.96,2014-04-04,13.455
2014-04-21,12.0,2014-05-05,12.465
2014-05-16,12.55,2014-05-29,12.123000000000001
2014-06-03,13.0,2014-06-11,12.033
2014-06-18,13.25,2014-07-17,14.085
2014-10-21,10.75,2014-10-28,10.332
2017-01-12,5.01,2017-01-13,4.509
2018-07-12,1.6,2018-07-13,1.4400000000000002
2018-12-12,1.64,2018-12-13,1.476
