buy_date,buy_price,sell_date,sell_price
2010-10-06,12.0,2010-11-18,11.25
2010-12-01,12.0,2010-12-15,10.8
2010-12-28,12.0,2011-02-01,13.950000000000001
2012-01-12,11.0,2012-09-26,10.35
2012-10-24,12.5,2012-12-26,11.25
2013-01-03,12.0,2013-01-08,10.8
2013-01-17,10.5,2013-03-04,9.9
2013-04-10,11.0,2013-04-17,9.9
2013-09-17,13.5,2013-10-09,12.15
2013-10-10,11.0,2013-11-18,12.6
2013-11-19,12.5,2013-12-11,11.25
2014-01-03,11.0,2014-02-28,12.15
2014-03-10,12.5,2014-04-11,14.4
2014-04-21,14.0,2014-04-23,13.5
2014-04-24,13.0,2014-05-23,13.05
2014-06-10,21.0,2014-06-11,18.900000000000002
2016-07-06,7.01,2016-07-12,11.988000000000001
2016-07-25,11.1,2016-07-26,9.99
2016-09-19,12.02,2016-09-20,10.818
2018-05-08,5.39,2018-05-25,6.462
