buy_date,buy_price,sell_date,sell_price
2010-12-07,33.619999,2010-12-29,34.3709991
2010-12-30,39.790001,2011-01-18,35.811000899999996
2011-01-19,35.360001,2011-01-31,31.824000899999998
2011-02-08,33.200001,2011-03-01,30.8699991
2012-10-16,6.7,2012-10-18,7.452
2013-04-04,6.96,2013-04-08,6.264
2013-04-10,7.11,2013-05-02,6.822
2013-05-17,7.87,2013-08-08,12.24
2014-09-17,19.790001,2014-11-17,18.981
2015-08-04,19.0,2015-08-24,18.0
2015-09-11,20.469999,2015-11-24,24.282
2016-02-11,27.09,2016-04-04,28.6740009
2016-04-11,26.41,2016-05-25,26.1539991
2016-06-16,22.299999,2016-09-13,23.013
2018-01-23,20.450001,2018-02-02,18.4050009
