buy_date,buy_price,sell_date,sell_price
2013-12-10,11.56,2013-12-13,10.404
2014-01-17,14.5,2014-01-27,13.212
2014-03-12,15.26,2014-05-06,13.968
2014-05-20,14.72,2014-09-02,15.75
2015-07-28,14.0,2015-08-06,13.725
2015-08-19,13.61,2015-08-26,12.798
2015-09-04,13.14,2015-09-21,14.715000000000002
2015-10-08,14.47,2015-11-11,15.353999100000001
2015-11-24,15.39,2015-12-07,14.9759991
2016-08-11,17.75,2016-08-29,16.9830009
2016-11-17,19.68,2016-11-29,21.8520009
2018-01-26,20.98,2018-02-06,18.882
2018-04-19,22.25,2018-04-27,20.025000000000002
2018-06-25,22.5,2018-07-13,21.357
2018-09-18,25.389999,2018-12-06,25.065
2019-12-17,29.93,2019-12-18,26.937
