buy_date,buy_price,sell_date,sell_price
2010-07-01,1140.0,2010-07-19,1044.0
2010-08-17,1124.0,2010-08-25,1162.8
2010-09-01,1220.0,2010-09-03,1098.0
2011-06-21,1020.0,2011-06-23,1083.6000000000001
2011-07-01,1240.0,2011-07-05,1116.0
2012-02-10,1200.0,2012-02-13,1080.0
2013-11-05,115.400002,2013-11-07,138.6
2014-01-10,115.800003,2014-01-17,120.60000000000001
2014-02-14,126.599998,2014-03-03,122.9400054
2014-03-05,145.800003,2014-03-10,134.6400054
2017-06-22,12.74,2017-06-23,11.466000000000001
2017-06-30,13.0,2017-07-07,12.420000000000002
