buy_date,buy_price,sell_date,sell_price
2010-11-09,29.290001,2011-05-04,38.2589982
2013-05-21,41.619999,2013-12-11,44.5050009
2014-03-05,49.689999,2014-07-31,49.0410018
2016-12-01,20.83,2017-02-08,19.737000000000002
2019-04-09,11.45,2019-05-02,10.512
