buy_date,buy_price,sell_date,sell_price
2010-08-06,126.0,2010-08-19,117.93599370000001
2010-08-20,121.68,2010-09-01,112.7519991
2010-09-02,123.120003,2010-09-09,123.1200027
2010-09-10,123.120003,2010-09-16,116.6400054
2010-09-21,129.600006,2010-09-28,116.6400054
2010-09-30,126.0,2010-11-11,161.3519991
2013-05-13,52.080002,2013-05-15,46.8720018
2013-07-17,62.16,2013-07-19,55.943999999999996
2014-03-07,45.0,2014-03-10,40.5
2014-03-12,52.080002,2014-03-13,46.8720018
2015-03-03,38.279999,2015-03-04,34.451999099999995
2016-06-14,15.6,2016-06-15,14.04
2018-01-18,3.09,2018-01-19,2.781
