buy_date,buy_price,sell_date,sell_price
2010-11-22,129.600006,2010-11-26,194.4
2010-11-29,172.800003,2010-12-01,182.73599370000002
2010-12-02,142.559998,2010-12-07,128.30399820000002
2010-12-08,198.720001,2010-12-09,178.8480009
2011-01-03,194.399994,2011-01-04,174.9599946
2011-01-06,172.800003,2011-01-10,155.52000270000002
2011-01-12,190.080002,2011-01-13,171.0720018
2011-01-14,194.399994,2011-01-19,174.9599946
2011-01-20,138.240005,2011-02-01,151.6319964
2011-04-14,120.959999,2011-05-02,132.19200450000002
2011-07-06,95.040001,2011-07-07,85.5360009
2011-07-12,194.399994,2011-07-15,225.5039982
2011-07-25,263.519989,2011-07-29,287.71199370000005
2011-08-11,371.519989,2011-08-15,334.36799010000004
2011-08-25,293.76001,2011-08-29,264.38400900000005
2011-09-01,371.519989,2011-09-06,369.3599946
2011-10-10,302.399994,2011-10-11,272.1599946
2011-11-14,237.600006,2011-11-29,233.2800108
2012-02-10,388.799988,2012-02-13,349.9199892
2012-05-03,401.76001,2012-05-09,431.56799010000003
2012-12-14,418.320007,2012-12-31,480.1680180000001
2013-01-14,619.200012,2013-01-22,557.2800108
2013-07-23,624.23999,2013-07-24,561.815991
2015-03-19,538.559998,2015-03-23,484.70399819999994
2015-04-20,640.799988,2015-04-28,578.6640198
