buy_date,buy_price,sell_date,sell_price
2010-11-18,4.9,2010-12-06,4.41
2012-02-23,3.9,2012-02-24,3.51
2012-03-19,4.39,2012-03-20,3.9509999999999996
2012-04-27,4.84,2012-05-04,4.4910000000000005
2012-05-08,6.38,2012-05-11,5.742
2013-01-30,6.4,2013-04-15,6.642
2013-05-02,8.43,2013-05-31,7.677
2013-12-20,9.75,2014-02-07,9.315
2014-02-19,10.4,2014-04-16,9.801
2014-05-14,11.15,2014-06-02,10.035
2014-10-31,11.6,2014-12-16,10.8
2015-03-04,12.78,2015-05-01,11.501999999999999
2016-02-24,12.51,2016-03-15,13.041
2016-11-14,24.0,2017-01-05,26.388
2017-09-28,26.07,2017-11-09,25.119
2018-06-25,27.52,2018-07-27,24.768
